,Variable 0,Variable 1,Variable 2,Sujeto,Año
220,-0.36639237,0.2567418,2.2692964,3127,4
221,-0.29991254,-0.75462544,0.9362522,3128,0
222,-1.3691167,1.131476,0.9467989,3128,1
223,0.108818285,0.2563824,1.3601801,3128,2
224,-0.20401347,-0.5141191,0.82890916,3128,4
225,-0.4541638,1.5097607,0.3089813,3129,0
226,-0.008844994,0.96357816,1.5247636,3130,0
227,-0.11749485,0.9531955,1.0918615,3130,1
228,-0.119420655,0.89220786,1.3468909,3130,2
229,-0.055163875,1.0944294,1.5823014,3130,4
230,0.25256267,0.37947717,-0.2646771,3131,0
231,-0.110348634,-0.35173222,0.053175025,3131,1
232,0.18050024,-0.114367425,0.23012573,3131,2
233,0.54935807,1.497677,0.06928415,3132,0
234,-0.056296617,-0.5072867,0.75314534,3132,1
235,-0.21945295,-0.4548207,0.6682177,3132,2
236,-1.2623234,1.6895869,0.15218598,3132,4
237,-1.1756953,0.74975765,0.4394937,3134,0
238,-1.0595562,1.0223669,0.178325,3134,1
239,-1.6341069,0.7986566,0.71546227,3134,2
240,-1.6743844,0.500391,0.64175117,3134,4
241,-0.1545555,2.4159036,0.5231141,3150,0
242,1.1546124,1.1786989,0.66788065,3150,1
243,1.0650902,0.99989843,0.6182267,3150,2
244,0.25952584,1.429752,0.15277076,3151,0
245,0.040312067,1.7926683,0.11242204,3154,0
246,0.23429395,1.3073978,0.3802481,3154,1
247,-0.054396674,1.4092767,0.369254,3154,2
248,1.0610251,0.09715997,0.62198675,3154,4
249,0.48294228,1.3165758,-0.039370574,3156,0
250,0.6412348,1.2460177,0.22855525,3157,0
251,0.846275,0.9435464,1.0947816,3160,0
252,0.7508542,1.2649925,0.48964757,3161,0
253,-0.91151685,-0.39677936,1.6380105,3162,0
254,0.32798803,0.12645169,0.1863201,3162,1
255,-0.6226605,-0.023749791,1.6966932,3162,2
256,-0.08379345,1.61023,0.99754053,3165,0
257,0.8317138,0.18317907,-0.4480823,3166,0
258,0.5898247,1.5456423,-0.3927612,3166,1
259,0.9977513,0.016789258,-0.51835036,3166,2
260,1.2707809,0.71561676,0.2394938,3168,0
261,0.92870665,0.6251604,0.31040132,3168,1
262,0.75525594,0.26891237,0.27424082,3168,2
263,0.6713254,-0.9517936,0.18659252,3168,4
264,0.85231173,1.8848099,0.107270606,3169,0
265,0.010288775,1.7511929,0.13760512,3170,0
266,0.1547043,1.4930645,0.2726011,3170,2
267,0.33052522,1.4677285,0.5035822,3171,0
268,0.42258072,1.8707911,-0.07286556,3172,0
269,-0.03818982,0.044824563,0.7686615,3173,0
270,-0.053481326,0.007828725,0.88097376,3173,1
271,0.05313168,0.29210454,1.0954198,3173,2
272,0.6902053,-0.7420268,0.96782494,3173,4
273,0.6488771,1.5849125,0.39903066,3174,0
274,0.83918864,0.89902806,0.721182,3174,1
275,0.8908607,1.0934898,0.41248056,3174,2
276,1.5985513,-0.91847086,0.33554676,3174,4
277,-0.11071761,2.0071099,0.5101692,3175,0
278,0.13628606,1.0390329,0.53757674,3175,1
279,-0.23173901,1.034394,0.54259574,3175,2
280,-0.017675616,1.65675,0.40640444,3175,4
281,0.2728197,0.9645171,0.2097387,3176,0
282,0.25548357,0.96659595,0.40712488,3176,1
283,0.16909419,0.88324714,0.34241635,3176,2
284,0.4293321,-0.42409104,0.17897059,3178,0
285,0.63758665,-0.6098729,0.19405338,3178,1
286,0.51147866,-0.8184685,0.1756042,3178,2
287,0.8091778,0.87289727,0.023707777,3179,0
288,0.5439293,1.4673562,0.067496575,3179,1
289,1.1025604,1.0447749,0.24664143,3179,2
290,0.54294944,0.14873987,0.69216436,3180,0
291,0.3050096,-0.7442503,1.1141576,3180,1
292,0.45683146,-0.5015334,1.0998642,3180,2
293,0.32926995,0.47226354,1.0467776,3181,0
294,0.10542276,0.3973667,1.0479747,3181,1
295,0.7558824,-0.25157663,1.2406108,3181,2
296,-0.24871859,0.024669066,1.3079047,3182,0
297,-0.15358698,0.4558838,1.7624667,3182,1
298,-0.34710553,-0.058436695,1.2431202,3182,2
299,-0.12787397,0.3325553,1.4851238,3182,4
300,-0.0010105073,1.7010788,-0.08671944,3183,0
301,0.4850626,1.529189,-0.023294732,3183,2
302,0.41504437,-0.19834745,1.274972,3184,0
303,0.8880857,0.35396564,1.5007759,3184,1
304,1.0384051,-0.59058297,1.9064308,3184,2
305,0.6441595,0.43693405,0.43918467,3184,4
306,-0.07758777,0.015285954,1.2612774,3185,0
307,0.3711887,-0.38672706,1.3640425,3185,1
308,0.23262878,-0.6270361,1.441928,3185,2
